id,date,days,mnes,prem,impl_volatility,delta
10078,04JAN1996,30,1.2375417284,0.2567898765,0.783005,-80
10078,04JAN1996,30,1.1912945679,0.2175403951,0.774917,-75
10078,04JAN1996,30,1.1503323457,0.1839782222,0.762773,-70
10078,04JAN1996,30,1.1140375309,0.1555153086,0.749439,-65
10078,04JAN1996,30,1.0825560494,0.1328225432,0.743469,-60
10078,04JAN1996,30,1.0544545679,0.1150896049,0.749295,-55
10078,04JAN1996,30,1.027902716,0.1011814321,0.768885,-50
10078,04JAN1996,30,1.0004009877,0.0872326914,0.781802,-45
10078,04JAN1996,30,0.9723269136,0.0731472593,0.784399,-40
10078,04JAN1996,30,0.9440883951,0.0599900247,0.78298,-35
10078,04JAN1996,30,0.9154844444,0.0479520494,0.779121,-30
10078,04JAN1996,30,0.8856444444,0.0372411852,0.777003,-25
10078,04JAN1996,30,0.8532318519,0.0277416543,0.777861,-20
10078,04JAN1996,30,1.2563698765,0.0234005185,0.81349,20
10078,04JAN1996,30,1.2088254321,0.0311424691,0.814982,25
10078,04JAN1996,30,1.1683207407,0.0397342469,0.819612,30
10078,04JAN1996,30,1.1326046914,0.049389284,0.828843,35
10078,04JAN1996,30,1.0988049383,0.0599174815,0.83638,40
10078,04JAN1996,30,1.0656234568,0.0709111605,0.83616,45
10078,04JAN1996,30,1.0333212346,0.082108963,0.826801,50
10078,04JAN1996,30,1.0026516049,0.094085284,0.816329,55
10078,04JAN1996,30,0.9731308642,0.1080268642,0.814352,60
10078,04JAN1996,30,0.9432918519,0.1246650123,0.821579,65
10078,04JAN1996,30,0.911977284,0.1441671111,0.833504,70
10078,04JAN1996,30,0.879125679,0.1657270617,0.840091,75
10078,04JAN1996,30,0.8434703704,0.1910273086,0.846721,80
10078,05JAN1996,30,1.2537261728,0.2740219753,0.825442,-80
10078,05JAN1996,30,1.2038195062,0.2314122716,0.81545,-75
10078,05JAN1996,30,1.1598735802,0.1951606667,0.801342,-70
10078,05JAN1996,30,1.120937037,0.1642925926,0.785076,-65
10078,05JAN1996,30,1.08724,0.1395418025,0.775479,-60
10078,05JAN1996,30,1.0571730864,0.1197703951,0.775427,-55
10078,05JAN1996,30,1.0288925926,0.103489358,0.784004,-50
10078,05JAN1996,30,1.0006538272,0.0883779012,0.790699,-45
10078,05JAN1996,30,0.9722674074,0.073960963,0.792008,-40
10078,05JAN1996,30,0.9437740741,0.0606215802,0.790213,-35
10078,05JAN1996,30,0.9149276543,0.0484435309,0.786177,-30
10078,05JAN1996,30,0.8848503704,0.0376145926,0.78393,-25
10078,05JAN1996,30,0.8523488889,0.0279743457,0.783699,-20
10078,05JAN1996,30,1.2355903704,0.0219827654,0.758991,20
10078,05JAN1996,30,1.1915130864,0.0292220247,0.759108,25
10078,05JAN1996,30,1.1527234568,0.037025358,0.757167,30
10078,05JAN1996,30,1.1178007407,0.0454128148,0.753913,35
10078,05JAN1996,30,1.0861646914,0.0545943704,0.752537,40
10078,05JAN1996,30,1.0568928395,0.0648535309,0.75508,45
10078,05JAN1996,30,1.0290217284,0.0765663951,0.763013,50
10078,05JAN1996,30,1.0012716049,0.0893498025,0.769042,55
10078,05JAN1996,30,0.9734412346,0.1031303704,0.771573,60
10078,05JAN1996,30,0.945214321,0.1187663704,0.776167,65
10078,05JAN1996,30,0.9157548148,0.1369441481,0.784248,70
10078,05JAN1996,30,0.8848624691,0.157213679,0.788667,75
10078,05JAN1996,30,0.8518419753,0.180406716,0.789988,80
10078,08JAN1996,30,1.2580461059,0.2786173209,0.83659,-80
10078,08JAN1996,30,1.2072478505,0.2352038629,0.82638,-75
10078,08JAN1996,30,1.161694704,0.1972920623,0.808608,-70
10078,08JAN1996,30,1.1219563863,0.1655877134,0.790281,-65
